,Brand,Color,Storage,Rating,Screen_size,Battery,Price,Rating_cat,Price_cat
284,REDMI,White,64,4.1,6.4,5000,13819,low,Affordable
285,REDMI,Blue,64,4.2,6.4,5000,14400,high,Affordable
286,IQOO,Black,256,4.4,6.8,5000,34589,high,Costly
287,Infinix,Gold,128,4.2,6.7,4500,15999,high,Affordable
288,IQOO,Blue,128,4.4,6.8,5000,29990,high,Average
289,SAMSUNG,Brown,64,4.2,6.6,6000,11299,high,Affordable
290,POCO,Black,256,4.2,6.7,5000,33999,high,Costly
292,Tecno,Welkin,128,4.2,6.7,5000,20399,high,Average
293,REDMI,Black,128,4.2,6.7,5000,24999,high,Average
294,vivo,Black,128,4.3,6.5,5000,16999,high,Affordable
295,REDMI,Green,128,4.2,6.7,6000,10999,high,Affordable
296,APPLE,White,64,4.6,6.1,5000,41999,high,Costly
297,vivo,Black,64,4.3,6.5,5000,11999,high,Affordable
298,REDMI,Black,256,4.2,6.7,4980,32999,high,Costly
299,REDMI,Blue,64,4.1,6.4,5000,13990,low,Affordable
300,SAMSUNG,Teal,128,4.2,6.6,6000,15249,high,Affordable
301,MOTOROLA,Black,64,3.8,6.5,5000,10999,low,Affordable
302,Google,Obsidian,128,4.3,6.3,4270,49999,high,Costly
303,Google,Snow,128,4.3,6.3,4270,49999,high,Costly
304,vivo,Sky,128,4.5,6.4,5000,14499,high,Affordable
305,SAMSUNG,Green,128,4.1,6.5,5000,10680,low,Affordable
306,OnePlus,Fog,128,4.4,6.7,4500,28295,high,Average
307,IQOO,Green,128,4.2,6.7,5000,15995,high,Affordable
308,IQOO,Night,128,4.2,6.7,5000,15995,high,Affordable
309,vivo,Black,64,4.2,6.5,5000,10999,high,Affordable
310,vivo,Gold,64,4.2,6.5,5000,10499,high,Affordable
311,SAMSUNG,Violet,128,4.2,6.4,5000,38999,high,Costly
312,SAMSUNG,Blue,128,3.8,6.6,5000,23998,low,Average
313,REDMI,Blue,128,4.1,6.7,5000,10718,low,Affordable
314,vivo,Sky,128,4.3,6.4,5000,17999,high,Affordable
315,vivo,Galaxy,128,4.3,6.4,5000,17999,high,Affordable
316,realme,Green,256,4.3,6.7,5000,24999,high,Average
